fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Nov,18,MAHARASHTRA,1835,PALGHAR,2681656,273.9572617,37,733,2927.334063,11337,19,30666,2590817,9534,1753,2395802,332148,474.09242,10499.15779,69398,127981,124790,370487,4232,311455,729450,42003,7097.731308,1451700,83,17.42,13.45,102.45,NA
2024-2025,Nov,18,MAHARASHTRA,1814,KOLHAPUR,413551,299.3405344,29,32,268.0317082,1066,186,11703,456810,47693,18456,706,306,94.22586,1729.675063,15701,25559,46932,113414,437,359417,637848,12769,1367.417495,184135,92,40.18,0.04,114.28,NA
2024-2025,Nov,18,MAHARASHTRA,1824,AMRAVATI,6203047,283.2902151,66,1021,12512.25168,12644,4,46743,6657714,645012,54245,2068957,137799,815.74175,32188.64574,100547,188665,191786,537214,20700,473961,1063990,59387,18860.65231,2734248,79,41.24,13.46,125.23,NA
2024-2025,Nov,18,MAHARASHTRA,1826,WARDHA,1291054,289.1549279,47,261,898.2289094,3317,5,13511,1312335,98118,15570,97457,13775,212.40746,4905.317692,27797,44694,55135,134929,2734,221980,410190,16828,3794.681323,484422,90,78.24,0.16,101.57,NA
2024-2025,Nov,18,MAHARASHTRA,1828,BHANDARA,5265395,186.0099104,37,5355,2589.5639,9982,8,18777,4950762,577493,59290,341678,33206,397.27483,12195.74669,131008,214285,187992,452630,5742,287540,630999,28759,9208.907959,3074006,81,23.8,16.67,100.83,NA
2024-2025,July,18,MAHARASHTRA,1809,AHMEDNAGAR,879614,329.703692,28,86,576.0195581,3045,91,39334,1050057,59401,31691,39578,24462,115.71484,4153.811095,36531,60016,144422,417030,1011,766570,1897554,42379,3462.076697,417163,91,72.61,0.11,105.02,NA
2024-2025,July,18,MAHARASHTRA,1816,JALNA,2204874,295.4669205,37,273,114.2230466,812,48,51056,3193114,79867,19838,14047,3021,136.07148,9684.890132,86042,153352,159893,428043,4455,474802,1071066,51868,9434.595605,1298752,76,54.58,0.46,100.35,NA
2024-2025,July,18,MAHARASHTRA,1823,AKOLA,641797,291.8062733,26,1670,32.1342766,1963,8,25861,1008236,150351,34591,52137,9907,65.96234,3040.192514,38285,54498,84776,194832,1377,287884,557395,27824,2942.095898,361015,91,39.25,6.24,108.49,NA
2024-2025,July,18,MAHARASHTRA,1835,PALGHAR,2174266,271.3067583,34,691,523.0708944,6491,28,32982,2256619,7332,1693,2097833,330296,346.16486,6991.59561,64851,119382,123339,368033,3203,306196,721825,39473,6122.359856,1301538,82,18.35,21.73,101.67,NA
2024-2025,July,18,MAHARASHTRA,1810,PUNE,197192,326.5758246,26,34,142.6151688,3204,443,21159,258064,12664,9936,27878,20137,76.10895,1061.498755,9774,15124,53204,140989,244,376325,808603,24363,842.774636,90451,93,68.04,0.01,105.26,NA
2024-2025,July,18,MAHARASHTRA,1811,SATARA,315403,306.3400172,31,77,59.73688,1560,453,15138,472030,14551,10886,835,853,32.05665,1537.810313,14757,21952,64667,144517,663,404436,762044,16698,1446.016783,185903,88,67.62,0.35,103.81,NA
2024-2025,July,18,MAHARASHTRA,1822,BULDHANA,624636,300.4978119,19,124,328.2916239,3965,26,29382,994605,68667,32362,22046,7271,43.65852,3360.716406,50030,70652,117411,284556,223,481715,1004066,33347,2988.766262,345875,93,40.44,0.99,99.87,NA
2024-2025,July,18,MAHARASHTRA,1823,AKOLA,641797,293.5860217,26,1669,32.1342766,1963,7,25906,1013247,151296,34623,52297,9903,65.96234,3072.848174,38391,54676,84793,194879,1400,287950,557492,27869,2974.751558,362851,91,39.25,6.24,108.59,NA
2024-2025,July,18,MAHARASHTRA,1826,WARDHA,710381,302.7660116,44,209,64.68092,680,23,14148,1022502,67409,14999,66055,12987,99.78205,3260.251494,23060,36769,52625,128758,1879,220313,406402,14828,3095.788524,381220,89,80.99,0.2,104.73,NA
2024-2025,July,18,MAHARASHTRA,1828,BHANDARA,3583157,177.9266377,35,5174,154.48722,4309,8,20783,4519445,540298,59234,309524,33163,205.09415,8400.877903,125574,204153,187110,451374,4409,285964,629042,25092,8041.296533,2868783,79,23.35,22.3,100.94,NA
2024-2025,July,18,MAHARASHTRA,1829,CHANDRAPUR,2897976,244.297403,40,659,342.307631,5385,20,32087,3803217,394559,63202,818287,105847,350.75473,9984.222723,94413,163508,171073,491652,5563,380334,913714,37472,9291.160362,2045771,79,30.14,20.93,102.11,NA
